Name,Comment,Time,Likes
Stacy Newton,If yall really want to talk about gap. Lets talk about old navy and gap and who they treat they employee's. They only get 4hrs if they manger likes them then its more. But foreal yall are paying people$8hr 4 hrs a day n have to relay on other people not showing up. Oh n get this no over time not even taxes.... I had a interview it went great. Until orientation thats when i found out all of that. Even in orientation both mangers came across they didn't wont me their and i was going to get used. My husband made me realize that. So i quit DO YALL NOT THEY PAID ME IN CASH. N THE MALE MANGER DID NOT TALK TO ME AT ALL. Like he was talking to me he liked me he helped me get on. Once i quit thats when the truth came out (DONT WORK FOR THEM NOR KIDS,2020-01-07T13:52:34Z,0
Yaribe Kban,I love my Gap jackets,2020-01-06T19:36:21Z,0
Trevor Murphy,Well when I was doing my Christmas shopping I was looking for a couple of sweaters I wasn’t thinking about going to the gap to be honest I thought they didn’t exist anymore never really bought clothes there anyways the last thing I bought was a book bag and that was in 2001,2020-01-06T11:34:16Z,0
Jahi,2:08 You're Welcome!!,2020-01-06T00:33:25Z,1
mialikesoup,"""Young, liberal baby boomers""






that's weird to hear",2020-01-03T03:26:22Z,8
Fawkk YuTuu,"No company should have any logo anywhere anymore , but it really dosen't matter because people are gonna wear what they see everyone else wear
and everyone else can be manipulated and conditioned through media what to wear through people like celebrities , who then get told to wear it to
keep them or make them famous. So It's a brainwashing chain of they tell me what to wear , i tell all you what's popular to be seen wearing , you wear it.
people need to get back to individuality regardless of what everyone else does , trends are cancer and modern America and society been sheep
long enough. Sell one of a kind extremely limited no logo exclusives and change it every month or just make a place where ppl come design and pick up
comepletely customized clothes they rendered on a computer , all they need to pay you for is carrying out fast experienced labor of their choices.",2019-12-30T20:19:14Z,0
🦋Timileyin Destinee🦋,I still own my GAP jackets. Brings back memories 😂😂,2019-12-29T10:55:38Z,5
RAMON Galbert,High prices for basics....doesn't quite work anymore....,2019-12-26T21:24:03Z,0
SnagglePuss daCat,"Art Peck is already gone.  Not a fashion merchant.  Pressler and all successors thereafter have NOT been merchants... Drexler was a merchant king... to go from that type of pedigree and focus to a non-apparel experienced CEO (Pressler) who stayed waaaay too long.  They haven't had a fashion merchant at the helm since Drexler-- a falling income level in mass consumers, basics being cornered by Target and Walmart, and youth shift to individuality instead of conformity fashion-- nails in the coffin.  Doesn't help that Bob Fisher is an idiot, to boot.",2019-12-25T06:07:23Z,0
JR C,so within the GAP the gap widens and became two brands?,2019-12-23T10:09:51Z,0
Precious.A.K,Maybe they should get rid of the big logo and reduce the price because they are hella expensive,2019-12-20T21:18:26Z,0
conor recipon,god the first gap was so colourful and bright to look at. they basically lost their original target audience of the youth,2019-12-20T15:53:26Z,0
Ayaan Rizvi,Sorry to dislike. I wear their clothes all the time.,2019-12-20T09:59:19Z,0
Rem Realm,"Was never into gap or old navy, seemed to way to high priced",2019-12-20T08:03:05Z,0
tolust,Thing ABOVE the GAP.....RIP 1967-2019,2019-12-19T20:11:02Z,0
Dolyang Orange,Most of their clothes gets bubbles after 2 or 3 wash,2019-12-18T18:55:59Z,0
Momma_Al,I used to love the Gap ... like 25-30 years ago. They had collections that went together and were versatile enough to mix with other clothes. The prices weren’t bad. Then their clothes got ugly and the fit wasn’t flattering. This has been a problem for them for YEARS. I wish they would hire me and I could tell them what they are doing wrong and specifically how to fix it fashion wise.,2019-12-18T11:56:31Z,0
W,So they haven't figure it out in 2019 no one wants 72-inch letters spelled out gap on shirts,2019-12-11T05:49:16Z,0
Enjoli J,These comments though...🤣🤣🤣🤣,2019-12-09T16:50:21Z,0
Norman Perez,GAP forever!❤,2019-12-09T02:58:50Z,0
Yasmeen Buist,used to work there... REALLY SUCKED!!,2019-12-09T01:25:59Z,0
Ingrid Leask,Still loving Banana Republic for my work clothes! However Gap is low quality so I don't go in there.,2019-12-07T23:24:47Z,0
Josie Feltham,why does that guy sound like coach Steve,2019-12-07T15:45:44Z,1
RJ,Nobody wants to wear “basic ass clothes”,2019-12-07T11:23:32Z,0
Joe V,"Their clothes look outdated, that's why.",2019-12-07T06:48:50Z,0
RestingNope Face,"Old Navy is one of the few places to find Plus Size Clothing in a brick and mortar setting. That said I only shop their Spring/ Summer dresses once they go on clearance. Otherwise there's just so many more affordable Plus Size options online with free shipping and coupons/sales. Amazon is where most of my wardrobe comes from now. Size inclusiveness, is good for the bottom line.",2019-12-07T04:48:07Z,2
DAB NAILZ,they stop selling to fat people and they went down. lolol. use to love the GAP. they also became uber expensive,2019-12-06T19:51:26Z,0
Friendly Necromancer,Gap clothes are so trash. They fall apart the second you wash them.,2019-12-06T04:18:07Z,0
Anthony95,"*BAN AMAZON!!!*
You online shoppers are helping ALL retail stores die.",2019-12-06T03:12:27Z,1
Tales toTell,"It's okay to sell basics, they are the foundation of every wardrobe. They must be excellent quality however and they can not be branded. Fast fashion doesn't provide great quality staples so maybe Gap should try to fill that void. Just listen to consumers. The product doesn't need to be refreshed quite as often except to keep up to date with trends in cut such as neckline or cropped and color trends. Millennials are all about minimalism. Research younger generations.",2019-12-06T00:02:03Z,1
lock heart,"Every time I walk into gap, it has the exact same clothing.",2019-12-04T23:26:20Z,0
